,jaar,wijkcode,buurtcode,fijnstof,roet,no2,woz,stedelijkheid,bevolkingsdichtheid,statuscode
0,2013,WK000300,BU00030000,,0.45,12.5,149,3,507,-2.225
1,2016,WK000300,BU00030000,14.28,0.43,10.97,131,3,505,-2.34
2,2015,WK000300,BU00030000,14.77,0.39,10.5,134,3,505,-2.36
3,2014,WK000300,BU00030000,16.99,0.49,13.02,142,4,507,-2.38
4,2013,WK000300,BU00030007,,0.4,11.36,149,3,507,0.075
5,2016,WK000300,BU00030007,13.62,0.38,9.96,131,3,505,0.04
6,2015,WK000300,BU00030007,14.28,0.34,9.65,134,3,505,0.095
7,2014,WK000300,BU00030007,16.65,0.42,11.3,142,4,507,0.15
8,2013,WK000300,BU00030008,,0.41,11.85,149,3,507,-1.64
9,2016,WK000300,BU00030008,13.65,0.39,10.53,131,3,505,-1.9
10,2015,WK000300,BU00030008,14.36,0.35,10.24,134,3,505,-1.83
11,2014,WK000300,BU00030008,16.83,0.43,12.07,142,4,507,-1.76
12,2013,WK000300,BU00030001,,0.44,12.32,149,3,507,0.075
13,2016,WK000300,BU00030001,14.05,0.41,10.45,131,3,505,0.04
14,2015,WK000300,BU00030001,14.57,0.37,10,134,3,505,0.095
15,2014,WK000300,BU00030001,16.96,0.46,12.41,142,4,507,0.15
16,2013,WK000300,BU00030009,,0.42,11.9,149,3,507,-2.225
17,2016,WK000300,BU00030009,13.86,0.39,10.26,131,3,505,-2.34
18,2015,WK000300,BU00030009,14.41,0.35,9.8,134,3,505,-2.36
19,2014,WK000300,BU00030009,16.74,0.44,11.8,142,4,507,-2.38
20,2013,WK000300,BU00030002,,0.44,12.5,149,3,507,-1.64
21,2016,WK000300,BU00030002,14.15,0.42,11.08,131,3,505,-1.9
22,2015,WK000300,BU00030002,14.72,0.39,10.71,134,3,505,-1.83
23,2014,WK000300,BU00030002,16.83,0.47,12.61,142,4,507,-1.76
24,2013,WK000500,BU00050004,,0.39,11.12,184,4,237,-1.1725
25,2016,WK000500,BU00050004,13.86,0.38,9.8,171,4,234,-1.44
26,2015,WK000500,BU00050004,14.2,0.33,9.22,171,4,234,-1.31
27,2014,WK000500,BU00050004,16.47,0.41,11.02,176,4,236,-1.18
28,2013,WK000500,BU00050000,,0.42,11.67,184,4,237,-0.7725
29,2016,WK000500,BU00050000,13.88,0.42,10.86,171,4,234,-1.04
30,2015,WK000500,BU00050000,14.28,0.38,10.25,171,4,234,-0.96
31,2014,WK000500,BU00050000,16.49,0.46,11.81,176,4,236,-0.88
32,2013,WK000500,BU00050007,,0.45,12.46,184,4,237,0.45
33,2016,WK000500,BU00050007,14.1,0.42,11.08,171,4,234,0.42
34,2015,WK000500,BU00050007,14.63,0.37,10.37,171,4,234,0.38
35,2014,WK000500,BU00050007,16.95,0.46,12.08,176,4,236,0.34
36,2013,WK000500,BU00050002,,0.48,13.3,184,4,237,0.7375
37,2016,WK000500,BU00050002,14.26,0.46,12.14,171,4,234,0.95
38,2015,WK000500,BU00050002,14.65,0.41,11.53,171,4,234,0.825
39,2014,WK000500,BU00050002,17.04,0.49,13.06,176,4,236,0.7
40,2013,WK000500,BU00050006,,0.49,13.97,184,4,237,0.45
41,2016,WK000500,BU00050006,14.57,0.46,12.25,171,4,234,0.42
42,2015,WK000500,BU00050006,14.79,0.41,11.63,171,4,234,0.38
43,2014,WK000500,BU00050006,17.42,0.5,13.18,176,4,236,0.34
44,2013,WK000500,BU00050005,,0.39,11.1,184,4,237,-1.1725
45,2016,WK000500,BU00050005,13.85,0.38,9.74,171,4,234,-1.44
46,2015,WK000500,BU00050005,14.2,0.33,9.15,171,4,234,-1.31
47,2014,WK000500,BU00050005,16.44,0.41,10.89,176,4,236,-1.18
48,2013,WK000500,BU00050003,,0.46,12.93,184,4,237,0.7375
49,2016,WK000500,BU00050003,14.02,0.44,11.44,171,4,234,0.95
50,2015,WK000500,BU00050003,14.55,0.39,10.83,171,4,234,0.825
51,2014,WK000500,BU00050003,16.85,0.47,12.38,176,4,236,0.7
52,2013,WK000500,BU00050001,,0.42,11.89,184,4,237,-0.7725
53,2016,WK000500,BU00050001,13.9,0.4,10.4,171,4,234,-1.04
54,2015,WK000500,BU00050001,14.34,0.35,9.79,171,4,234,-0.96
55,2014,WK000500,BU00050001,16.61,0.44,11.42,176,4,236,-0.88
56,2013,WK000900,BU00090002,,0.42,11.39,187,5,199,0.65
57,2016,WK000900,BU00090002,13.75,0.41,10.51,169,5,195,0.72
58,2015,WK000900,BU00090002,14.33,0.36,9.98,169,5,198,0.83
59,2014,WK000900,BU00090002,16.56,0.44,11.52,178,5,199,0.94
60,2013,WK000900,BU00090009,,0.44,12.26,187,5,199,-0.2975
61,2016,WK000900,BU00090009,13.79,0.41,10.65,169,5,195,-0.2
62,2015,WK000900,BU00090009,14.38,0.36,10.22,169,5,198,-0.185
63,2014,WK000900,BU00090009,16.63,0.44,11.71,178,5,199,-0.17
64,2013,WK000900,BU00090005,,0.43,11.8,187,5,199,0.65
65,2016,WK000900,BU00090005,13.78,0.41,10.55,169,5,195,0.72
66,2015,WK000900,BU00090005,14.36,0.36,10.07,169,5,198,0.83
67,2014,WK000900,BU00090005,16.63,0.44,11.52,178,5,199,0.94
68,2013,WK000900,BU00090000,,0.43,11.78,187,5,199,-0.2975
69,2016,WK000900,BU00090000,13.85,0.42,10.93,169,5,195,-0.2
70,2015,WK000900,BU00090000,14.42,0.38,10.48,169,5,198,-0.185
71,2014,WK000900,BU00090000,16.67,0.47,12.21,178,5,199,-0.17
72,2013,WK000900,BU00090003,,0.44,12.4,187,5,199,#N/B
73,2016,WK000900,BU00090003,13.87,0.4,10.45,169,5,195,#N/B
74,2015,WK000900,BU00090003,14.38,0.35,9.86,169,5,198,#N/B
75,2014,WK000900,BU00090003,16.68,0.44,11.52,178,5,199,#N/B
76,2013,WK000900,BU00090001,,0.48,13.39,187,5,199,1.1075
77,2016,WK000900,BU00090001,13.78,0.44,11.35,169,5,195,1.36
78,2015,WK000900,BU00090001,14.43,0.39,10.96,169,5,198,1.215
79,2014,WK000900,BU00090001,16.77,0.49,13.04,178,5,199,1.07
80,2013,WK000901,BU00090102,,0.4,11.33,171,5,96,-0.3
81,2016,WK000901,BU00090102,14.08,0.4,10.28,151,5,93,-0.66
82,2015,WK000901,BU00090102,14.67,0.35,9.98,153,5,94,-0.475
83,2014,WK000901,BU00090102,16.82,0.43,11.35,161,5,95,-0.29
84,2013,WK000901,BU00090101,,0.42,12.07,171,5,96,#N/B
85,2016,WK000901,BU00090101,13.68,0.39,10.47,151,5,93,#N/B
86,2015,WK000901,BU00090101,14.25,0.35,10.12,153,5,94,#N/B
87,2014,WK000901,BU00090101,16.48,0.43,11.38,161,5,95,#N/B
88,2013,WK000901,BU00090109,,0.41,11.64,171,5,96,-0.505
89,2016,WK000901,BU00090109,13.76,0.39,10.3,151,5,93,-0.34
90,2015,WK000901,BU00090109,14.33,0.35,9.95,153,5,94,-0.325
91,2014,WK000901,BU00090109,16.58,0.43,11.26,161,5,95,-0.31
92,2013,WK000901,BU00090104,,0.41,11.48,171,5,96,-0.505
93,2016,WK000901,BU00090104,13.82,0.39,10.25,151,5,93,-0.34
94,2015,WK000901,BU00090104,14.37,0.35,9.94,153,5,94,-0.325
95,2014,WK000901,BU00090104,16.62,0.42,11.15,161,5,95,-0.31
96,2013,WK000901,BU00090100,,0.44,12.35,171,5,96,-0.505
