,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,pst_mvp
0,NL00,0,Nederland,Nederland,Land,NL00,
1,GM0003,3,Appingedam,Appingedam,Gemeente,GM0003,
2,WK000300,300,Wijk 00,Appingedam,Wijk,WK000300,
3,BU00030000,30000,Appingedam-Centrum,Appingedam,Buurt,BU00030000,9901.0
4,BU00030001,30001,Appingedam-West,Appingedam,Buurt,BU00030001,9903.0
5,BU00030002,30002,Appingedam-Oost,Appingedam,Buurt,BU00030002,9902.0
6,BU00030007,30007,Verspreide huizen Damsterdiep en Eemskanaal,Appingedam,Buurt,BU00030007,9903.0
7,BU00030008,30008,Verspreide huizen ten zuiden van Eemskanaal,Appingedam,Buurt,BU00030008,9902.0
8,BU00030009,30009,Verspreide huizen ten noorden van het Damsterdiep,Appingedam,Buurt,BU00030009,9901.0
9,GM0005,5,Bedum,Bedum,Gemeente,GM0005,
10,WK000500,500,Wijk 00,Bedum,Wijk,WK000500,
11,BU00050000,50000,Bedum,Bedum,Buurt,BU00050000,9781.0
12,BU00050001,50001,Verspreide huizen Bedum,Bedum,Buurt,BU00050001,9781.0
13,BU00050002,50002,Zuidwolde,Bedum,Buurt,BU00050002,9785.0
14,BU00050003,50003,Verspreide huizen Zuidwolde,Bedum,Buurt,BU00050003,9785.0
15,BU00050004,50004,Onderdendam,Bedum,Buurt,BU00050004,9959.0
16,BU00050005,50005,Verspreide huizen Onderdendam,Bedum,Buurt,BU00050005,9959.0
17,BU00050006,50006,Noordwolde,Bedum,Buurt,BU00050006,9784.0
18,BU00050007,50007,Verspreide huizen Noordwolde,Bedum,Buurt,BU00050007,9784.0
19,GM0007,7,Bellingwedde,Bellingwedde,Gemeente,GM0007,
20,WK000700,700,Wijk 00 Bellingwolde,Bellingwedde,Wijk,WK000700,
21,BU00070000,70000,Bellingwolde,Bellingwedde,Buurt,BU00070000,9695.0
22,BU00070001,70001,Vriescheloo,Bellingwedde,Buurt,BU00070001,9699.0
23,BU00070002,70002,Rhederweg-West,Bellingwedde,Buurt,BU00070002,9695.0
24,BU00070004,70004,Vriescheloo-Zuid,Bellingwedde,Buurt,BU00070004,9699.0
25,BU00070005,70005,Oudeschans,Bellingwedde,Buurt,BU00070005,9696.0
26,BU00070006,70006,Klein-Ulsda,Bellingwedde,Buurt,BU00070006,9696.0
27,BU00070007,70007,Verspreide huizen ten zuidoosten van Bellingwolde,Bellingwedde,Buurt,BU00070007,9695.0
28,BU00070008,70008,Verspreide huizen ten zuidoosten van Vriescheloo,Bellingwedde,Buurt,BU00070008,9699.0
29,BU00070009,70009,Verspreide huizen Westerwoldse A,Bellingwedde,Buurt,BU00070009,9695.0
30,WK000701,701,Wijk 01 Oost,Bellingwedde,Wijk,WK000701,
31,BU00070100,70100,Veelerveen,Bellingwedde,Buurt,BU00070100,9566.0
32,BU00070101,70101,Rhederbrug-Oost,Bellingwedde,Buurt,BU00070101,9695.0
33,BU00070108,70108,Verspreide huizen ten noordoosten van Rhederbrug,Bellingwedde,Buurt,BU00070108,9695.0
34,BU00070109,70109,Verspreide huizen Veelerveen,Bellingwedde,Buurt,BU00070109,9699.0
35,WK000702,702,Wijk 02 Blijham,Bellingwedde,Wijk,WK000702,
36,BU00070200,70200,Blijham,Bellingwedde,Buurt,BU00070200,9697.0
37,BU00070201,70201,Morige,Bellingwedde,Buurt,BU00070201,9697.0
38,BU00070202,70202,Wedde,Bellingwedde,Buurt,BU00070202,9698.0
39,BU00070203,70203,Wedderheide,Bellingwedde,Buurt,BU00070203,9698.0
40,BU00070204,70204,Wedderveer,Bellingwedde,Buurt,BU00070204,9698.0
41,BU00070206,70206,Verspreide huizen in de polder Blijham,Bellingwedde,Buurt,BU00070206,9697.0
42,BU00070207,70207,Verspreide huizen ten westen van Blijham,Bellingwedde,Buurt,BU00070207,9697.0
43,BU00070208,70208,Verspreide huizen Hoorn,Bellingwedde,Buurt,BU00070208,9698.0
44,BU00070209,70209,Verspreide huizen in de Weddermarke,Bellingwedde,Buurt,BU00070209,9698.0
45,GM0009,9,Ten Boer,Ten Boer,Gemeente,GM0009,
46,WK000900,900,Wijk 00 West,Ten Boer,Wijk,WK000900,
47,BU00090000,90000,Ten Boer,Ten Boer,Buurt,BU00090000,9791.0
48,BU00090001,90001,Garmerwolde,Ten Boer,Buurt,BU00090001,9798.0
49,BU00090002,90002,Thesinge,Ten Boer,Buurt,BU00090002,9797.0
50,BU00090003,90003,Sint-Annen,Ten Boer,Buurt,BU00090003,9796.0
51,BU00090005,90005,Achter-Thesinge en Bovenrijge,Ten Boer,Buurt,BU00090005,9797.0
52,BU00090009,90009,Verspreide huizen ten noorden van het Eemskanaal,Ten Boer,Buurt,BU00090009,9791.0
53,WK000901,901,Wijk 01 Oost,Ten Boer,Wijk,WK000901,
54,BU00090100,90100,Ten Post,Ten Boer,Buurt,BU00090100,9792.0
55,BU00090101,90101,Winneweer (gedeeltelijk),Ten Boer,Buurt,BU00090101,9793.0
56,BU00090102,90102,Woltersum,Ten Boer,Buurt,BU00090102,9795.0
57,BU00090104,90104,Wittewierum,Ten Boer,Buurt,BU00090104,9792.0
58,BU00090106,90106,Lellens,Ten Boer,Buurt,BU00090106,9794.0
